Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date
"Old Chicago (Bally 1976)",Bally,1976,"Historical, American Places",4,1704,-,EM,VPX,"Loserman76, GNance, Popotte, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2021-12-17
"Old Chicago (Bally 1976)",Bally,1976,"Historical, American Places",4,1704,-,EM,VPX,"Loserman76, GNance, Popotte, Arconovum",1.0-2.5,2023-06-20
"Old Coney Island! (Game Plan 1979)",Game Plan,1979,"Happiness, Circus, Carnival",4,553,-,SS,VPX,"Ext2k, JPSalas",1.0.0,2023-12-08
"Old Coney Island! (Game Plan 1979)",Game Plan,1979,"Happiness, Circus, Carnival",4,553,-,SS,VPX,"JPSalas",4.0.2,2022-10-27
"Olympics (Gottlieb 1962)",Gottlieb,1962,"Olympic Games, Sports",1,1714,-,EM,VPX,"Mustang1961, Loserman76",1.0d,2022-10-09
"Olympics (Gottlieb 1962)",Gottlieb,1962,"Olympic Games, Sports",1,1714,-,EM,VPX,"Loserman76",1.0.0f,2021-12-15
"Olympics (Gottlieb 1962)",Gottlieb,1962,"Olympic Games, Sports",1,1714,-,EM,VPX,"Teisen, Loserman76, GNance, JPSalas, Pinuck, Hauntfreaks, Borgdog, Arngrim",1.0,2024-01-13
"Olympus (Juegos Populares 1986)",Juegos Populares,1986,"Mythology",4,5140,-,SS,VPX,"JPSalas, Mfuegeman, Akiles50000, Pedator, Daniel, Koke",1.0.0,2023-12-03
"Olympus (Juegos Populares 1986)",Juegos Populares,1986,"Mythology",4,5140,-,SS,VPX,"Mfuegemann",0.1,2020-02-24
"Olympus (Juegos Populares 1986)",Juegos Populares,1986,"Mythology",4,5140,-,SS,VPX,"Ext2k, JPSalas, Mfuegeman, Akiles50000, Pedator, Daniel, Koke",1.0,2023-12-05
"Once Upon A Time In The West (Original 2019)",Original,2019,"American West, Movie",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-11-13
"One Piece (Original 2023)",Original,2023,"Anime",-,-,-,SS,-,"Masonou, JPSalas, PEandS1Ws",1.0.0,2023-12-11
"Operation Highjump (Original 2021)",Original,2021,"Science Fiction",2,-,-,EM,VPX,"Chepas, Loserman76, NicolaiNuke, Allknowing2012",1.0.1,2022-02-02
"Operation Thunder (Gottlieb 1992)",Gottlieb,1992,"Science Fiction",4,1721,-,SS,VPX,"Rascal, Ahr1man, Rawd, Gigalula, Tamoore, Mfuegemann",1.4.0,2023-01-29
"Operation Thunder (Gottlieb 1992)",Gottlieb,1992,"Science Fiction",4,1721,-,SS,VPX,"Bigus1, Mfuegemann, Rascal, Scutters",3.1,2022-12-21
"Operation Thunder (Gottlieb 1992)",Gottlieb,1992,"Science Fiction",4,1721,-,SS,VPX,"Rascal, Mfuegemann, Zaphod, Destruk, Scapino, Fuzzel, Akiles50000, Arngrim, JPSalas",1.1.0,2022-07-01
"Orbit (Gottlieb 1971)",Gottlieb,1971,"Outer Space",4,1724,-,EM,FP,"Popotte",1.01,2023-11-27
"Orbit (Gottlieb 1971)",Gottlieb,1971,"Outer Space",4,1724,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2021-12-15
"Orbitor 1 (Stern 1982)",Stern,1982,"Outer Space",4,1725,-,SS,VPX,"32assassin",1.0,2017-01-22
"Ouija (Original 2020)",Original,2020,"Supernatural",-,-,-,SS,VPX,"Davor Lipovac, JPSalas",1.0,2020-05-20
"Out of Sight (Gottlieb 1974)",Gottlieb,1974,"Psychedelic",2,1727,-,EM,VPX,"Loserman76, GNance, Popotte, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2021-12-15
"Outer Space (Gottlieb 1972)",Gottlieb,1972,"Outer Space",2,1728,-,EM,VPX,"Rajo Joey, Loserman76, GNance",1.0.0,2023-01-05
"Outer Space (Gottlieb 1972)",Gottlieb,1972,"Outer Space",2,1728,-,EM,VPX,"Leeoneil, Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.1.0,2023-08-07
"Outer Space (Gottlieb 1972)",Gottlieb,1972,"Outer Space",2,1728,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2021-12-15
"PDC World Darts XL (Original 2020)",Original,2020,"Sports, Darts",4,-,-,SS,VPX,"Stevegooner1234, PQ4, Ruud56, JPSalas",1.0,2020-08-15
"PIN-BOT (Williams 1986)",Williams,1986,"Fantasy, Outer Space",4,1796,-,SS,VPX,"Bord",2.1.1,2022-02-25
"PIN-BOT (Williams 1986)",Williams,1986,"Fantasy, Outer Space",4,1796,-,SS,VPX,"Arconovum, Bord",1.0-2.6,2023-06-20
"PJ Masks (Original 2020)",Original,2020,-,4,-,-,SS,VPX,"Donuts10, Franck Hollinger (Mussinger)",1.3,2020-07-28
"PT01 (Original 2023)",Original,2023,-,-,-,-,-,VPX,"0x3e",0.03,2023-07-31
"PacMan (Original 2021)",Original,2021,"Video Game",-,-,-,SS,VPX,"Segovia11",1.33,2023-07-19
"Paddock (Williams 1969)",Williams,1969,"Sports, Horse Racing",1,1735,-,EM,VPX,"Bord, Scottacus",1.0.2,2022-04-22
