Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date
"Cactus Canyon (Bally 1998)",Bally,1998,"American West",4,4445,-,SS,VPX,"Dozer, Lord Hiryu, Mrcmrc, Sheltemke, Aaron James, The Wool, Grizz, Kodiac",1.2,2022-04-01
"Cactus Canyon Continued (Bally 1998)",Bally,1998,"American West",4,4445,-,SS,VPX,"VPin Workshop (VPW), Skitso, Oqqsan, Tomate, Rik, Panik Flip Gaming, Tom Tower, Fleep, Iaakki, Sixtoe, Apophis, Ninuzzu, Rothbauerw, Rothbauerw",1.1,2022-09-06
"Cactus Canyon Continued (Bally 1998)",Bally,1998,"American West",4,4445,-,SS,VPX,"Ninuzzu, Tom Tower, ClarkKent",2.0,2020-01-12
"Cactus Jack's (Gottlieb 1991)",Gottlieb,1991,"Music, Singing, Dancing, Comedy, Country and Western",4,416,-,SS,VPX,"UnclePaulie, BorgDog, Bodydump, Wildman, Rik, PinstratsDan, Wylte, Sixtoe, Apophis, Rothbauerw",2.0.2,2022-03-07
"Cactus Jack's (Gottlieb 1991)",Gottlieb,1991,"Music, Singing, Dancing, Comedy, Country and Western",4,416,-,SS,VPX,"BorgDog, Bodydump, Dark, Bord, Rothbauerw",0.95,2019-11-02
"Cactus Jack's (Gottlieb 1991)",Gottlieb,1991,"Music, Singing, Dancing, Comedy, Country and Western",4,416,-,SS,VPX,"Rascal, PacDude",1.1,2019-01-25
"Caddie (Playmatic 1975)",Playmatic,1975,"Sports, Golf",1,4486,-,EM,VPX,"Loserman76, Akiles50000, JPSalas",1.0.0f,2022-03-21
"Camel Caravan (Genco 1949)",Genco,1949,"Transportation, World Places",1,421,-,EM,FP,"Francisco Pozo",1.0,2022-08-30
"Canada Dry (Gottlieb 1976)",Gottlieb,1976,"Licensed Theme, Drinking",4,426,-,EM,VPX,"Teisen, Loserman76",1.1.0,2023-08-15
"Canada Dry (Gottlieb 1976)",Gottlieb,1976,"Licensed Theme, Drinking",4,426,-,EM,VPX,"Rajo Joey, Loserman76",1.0.0,2022-12-29
"Canada Dry (Gottlieb 1976)",Gottlieb,1976,"Licensed Theme, Drinking",4,426,-,EM,VPX,"Loserman76",1.0.0f,2021-12-08
"Canasta 86 (Inder 1986)",Inder,1986,"Sports, Basketball",4,4097,-,SS,VPX,"Ext2k, JPSalas, TastyWasps, Gwillion, Wildman",1.0.0,2023-11-25
"Canasta 86 (Inder 1986)",Inder,1986,"Sports, Basketball",4,4097,-,SS,VPX,"Nestorgian, JPSalas",1.0.0,2023-03-20
"Canasta 86 (Inder 1986)",Inder,1986,"Sports, Basketball",4,4097,-,SS,VPX,"JPSalas, Carlos Guizzo, Batansa, Adrian, Jose Manuel Lopez, Destruk, Maior, Lighthouse, Akiles50000",4.1.0,2023-02-22
"Cannes (Segasa 1976)",Segasa,1976,"World Places, Aquatic, Sports, Happiness, Recreation, Water Skiing, Swimming",-,424,-,EM,VPX,"Klodo81",1.2,2023-07-06
"Cannon Fodder (Original 2018)",Original,2018,"Video Game",-,-,-,SS,VPX,"Ivantba, Xenonph, BorgDog, JPSalas",1.1,2018-11-06
"Capersville (Bally 1966)",Bally,1966,"Fantasy",4,431,-,EM,VPX,"Scottacus, Loserman76, Xenonph, Thalamus, BorgDog, Arngrim, HauntFreaks",2.16,2022-08-10
"Capersville (Bally 1966)",Bally,1966,"Fantasy",4,431,-,EM,VPX,"Scottacus, Loserman76, Xenonph, Thalamus, BorgDog, Arngrim, HauntFreaks",3.1.3,2022-03-21
"Capt. Card (Gottlieb 1974)",Gottlieb,1974,"Cards, Gambling",1,433,-,EM,VPX,"Rajo Joey, Loserman76, GNance",1.0.0,2022-12-29
"Capt. Card (Gottlieb 1974)",Gottlieb,1974,"Cards, Gambling",1,433,-,EM,VPX,"Loserman76, GNance",1.0.0f,2022-03-21
"Capt. Card (Gottlieb 1974)",Gottlieb,1974,"Cards, Gambling",1,433,-,EM,VPX,"Bord, Loserman76, GNance",1.0,2019-08-23
"Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976)",Bally,1976,"Celebrities, Fictional, Licensed Theme",4,438,-,EM,VPX,"Leojreimroc, Dozer, Rosve, Stefanaustria (STAT), DJRobX, Bord, Thalamus, PinstratsDan, Rajo Joey, Apophis, Rothbauerw",2.0.2,2022-10-06
"Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976)",Bally,1976,"Celebrities, Fictional, Licensed Theme",4,438,-,EM,VPX,"iDigStuff, Dozer, Rosve, Stefanaustria (STAT), DJRobX, Leojreimroc",2.0.2,2022-10-09
"Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976)",Bally,1976,"Celebrities, Fictional, Licensed Theme",4,438,-,EM,VPX,"Akiles50000, JPSalas, Loserman76, Kiwi",4.0.1,2022-09-21
"Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976)",Bally,1976,"Celebrities, Fictional, Licensed Theme",4,438,-,EM,VPX,"iDigStuff, Dozer, Jopnl",1.4,2021-03-28
"Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976)",Bally,1976,"Celebrities, Fictional, Licensed Theme",4,438,-,EM,VPX,"Dozer, Rosve, Stefanaustria (STAT), DJRobX",1.2,2018-06-01
"Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976)",Bally,1976,"Celebrities, Fictional, Licensed Theme",4,438,-,EM,FP,"Martin Brunker",1.2,2023-09-16
"Captain America (Zen Studios 2011)",Zen Studios,2011,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX,"Zen Studios, Viktor Gyorei",-,2023-07-19
"Captain America (Zen Studios 2011)",Zen Studios,2011,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX3,"Zen Studios",-,2000-01-01
"Captain Future Edition (Original 2022)",Original,2022,"Anime, Science Fiction",-,-,-,SS,VPX,"Icepinball, TBA, SliderPoint",1.0.0,2022-06-28
"Captain NEMO Dives Again  (Quetzal Pinball 2015)",Quetzal Pinball,2015,"Fictional Characters",-,6465,-,SS,VPX,"EpeC, Lord Hiryu, Wiesshund, Javier1515, Marty02, ScottyWic, Mark Paulik (WPilot), Oroborus, Vlat, Kevin MacLeod, JPSalas",5.0,2022-04-08
"Captain NEMO Dives Again  (Quetzal Pinball 2015)",Quetzal Pinball,2015,"Fictional Characters",-,6465,-,SS,VPX,"EpeC, Lord Hiryu, Wiesshund, Javier1515, Marty02, ScottyWic, Mark Paulik (WPilot), Oroborus, Vlat, Kevin MacLeod, eMBee, JPSalas",5.0,2022-04-08
"Car Hop (Gottlieb 1991)",Gottlieb,1991,"Cars, Food",4,3676,-,SS,VPX,"Goldchicco, 32assassin, Bodydump",1.0b,2021-12-13
"Car Hop (Gottlieb 1991)",Gottlieb,1991,"Cars, Food",4,3676,-,SS,VPX,"3rdAxis, Goldchicco, 32assassin, Bodydump",1.0,2023-01-05
"Car Hop (Gottlieb 1991)",Gottlieb,1991,"Cars, Food",4,3676,-,SS,VPX,"Morttis, Arconovum, 32assassin, Bodydump",1.1-2.6,2023-06-13
"Car Hop (Gottlieb 1991)",Gottlieb,1991,"Cars, Food",4,3676,-,SS,VPX,"32assassin, Bodydump",1.1,2020-12-10
"Carcariass Pinball Chaos (Original 2021)",Original,2021,"Music, Heavy Metal",-,-,-,SS,VPX,"Loliv45",1.1,2021-03-27
"Card King (Gottlieb 1971)",Gottlieb,1971,"Playing Cards",1,445,-,EM,VPX,"Teisen, Loserman76",1.0.0,2023-08-23
"Card King (Gottlieb 1971)",Gottlieb,1971,"Playing Cards",1,445,-,EM,VPX,"Loserman76",1.0.0f,2023-08-23
"Card Trix (Gottlieb 1970)",Gottlieb,1970,"College Life, Happiness, Music, Cards",1,446,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2022-03-21
"Card Whiz (Gottlieb 1976)",Gottlieb,1976,"Cards, Gambling",2,447,-,EM,FP,"Greywolf, Popotte",5.0,2023-09-16
"Card Whiz (Gottlieb 1976)",Gottlieb,1976,"Cards, Gambling",2,447,-,EM,VPX,"BorgDog, Scott Amus, Popotte",1.0.0,2022-03-21
"Carnival Queen (Bally 1958)",Bally,1958,"Carnival, Happiness",1,456,-,EM,VPX,"HSM",1.0,2019-11-06
"Carrie Underwood (Original 2021)",Original,2021,"Music, Country and Western",4,-,-,SS,VPX,"Phenom, Hawkeyez88, BuffaloPinPro, Goldchicco",1.0,2023-06-05
"Carrie Underwood (Original 2021)",Original,2021,"Music, Country and Western",4,-,-,SS,VPX,"Hawkeyez88, Phenom, BuffaloPinPro, Goldchicco",1.1,2023-06-05
"CastleStorm (Zen Studios 2015)",Zen Studios,2015,"Medieval",4,-,-,-,FX,"Zen Studios",-,2022-04-02
"CastleStorm (Zen Studios 2015)",Zen Studios,2015,"Medieval",4,-,-,-,FX3,"Zen Studios",-,2000-01-01
"Catacomb (Stern 1981)",Stern,1981,"Horror",4,469,-,SS,VPX,"HSM, 32assassin, Mfuegemann, Stefanaustria (STAT)",1.0,2020-01-26
"Catacomb (Stern 1981)",Stern,1981,"Horror",4,469,-,SS,VPX,"Arconovum, 32assassin, Mfuegemann, Stefanaustria (STAT)",0.9-2.6,2023-06-12
"Catacomb (Stern 1981)",Stern,1981,"Horror",4,469,-,SS,VPX,"32assassin, Mfuegemann, Stefanaustria (STAT)",0.9.1,2023-06-18
"Cavalcade (Stoner Manufacturing Corp 1935)",Stoner Manufacturing Corp,1935,"Horse Racing, Flipperless",1,473,-,EM,VPX,"Mfuegemann",1.0,2018-05-25
"Cavaleiro Negro (Taito do Brasil 1981)",Taito do Brasil,1981,"Medieval, Knights",4,4568,-,SS,VPX,"JPSalas, Destruk, Classic Playfields, Tio Italo, Kruge99, Pmax65, Rothbauerw",4.0.0,2022-08-29
"Cavaleiro Negro (Taito do Brasil 1981)",Taito do Brasil,1981,"Medieval, Knights",4,4568,-,SS,VPX,"Morttis, Arconovum, Wildman, Carlos Guizzo, JPSalas",3.0-1.0,2023-06-12
"Cavalier (Recel 1979)",Recel,1979,"Historical Characters",4,474,-,SS,VPX,"Nestorgian, Akiles50000, Arngrim",1.1,2020-11-09
"Caveman (Gottlieb 1982)",Gottlieb,1982,"Historical",4,475,-,SS,VPX,"DarthMarino, Rascal, Lovthatapex, Destruk, Wildman, Cyberpez",1.1,2019-04-03
"Caveman (Gottlieb 1982)",Gottlieb,1982,"Historical",4,475,-,SS,VPX,"Rascal, LuvThatApex, Destruk",1.1.0,2022-03-28
"Cenobite (Original 2023)",Original,2023,"Horror",-,-,-,SS,VPX,"UncleWilly, HauntFreaks, JPSalas, MrGrynch",1.0.0,2023-10-27
"Centaur (Bally 1981)",Bally,1981,"Fantasy, Motorcycles",4,476,-,SS,VPX,"Bigus1, Bord, Rothbauerw",2.1,2023-02-26
"Centaur (Bally 1981)",Bally,1981,"Fantasy, Motorcycles",4,476,-,SS,VPX,"Bord, Rothbauerw",1.1,2023-01-31
"Centaur (Bally 1981)",Bally,1981,"Fantasy, Motorcycles",4,476,-,SS,FP,"NitroNimbus, Light66, SLAMT1LT, Senseless",BAM MOD,2023-09-16
"Centaur (Bally 1981)",Bally,1981,"Fantasy, Motorcycles",4,476,-,SS,VPX,"Retro27, Psiomicron, Senseless, Bord, Rothbauerw",1.0.5,2022-03-28
"Centaur (Bally 1981)",Bally,1981,"Fantasy, Motorcycles",4,476,-,SS,-,"Senseless, Bord, Rothbauerw",1.02,2023-07-03
"Centigrade 37 (Gottlieb 1977)",Gottlieb,1977,"Fantasy, Science Fiction",1,480,-,EM,VPX,"Pdrum, Bord, BorgDog",3.2,2023-01-12
"Centigrade 37 (Gottlieb 1977)",Gottlieb,1977,"Fantasy, Science Fiction",1,480,-,EM,FP,"NitroNimbus, JC144, SLAMT1LT",2.0,2023-09-16
"Centigrade 37 (Gottlieb 1977)",Gottlieb,1977,"Fantasy, Science Fiction",1,480,-,EM,VPX,"Bord, BorgDog",3.2,2021-10-29
"Centigrade 37 (Gottlieb 1977)",Gottlieb,1977,"Fantasy, Science Fiction",1,480,-,EM,VPX,"Arconovum, Bord",1.0-2.6,2023-06-13
"Central Park (Gottlieb 1966)",Gottlieb,1966,"American Places",1,481,-,EM,VPX,"Tgx, Rosve",1.0.1,2021-03-17
"Champ (Bally 1974)",Bally,1974,"Sports, Pinball",4,486,-,EM,VPX,"Jogrady7, -=Kees=-",1.0,2021-03-26
"Champ (Bally 1974)",Bally,1974,"Sports, Pinball",4,486,-,EM,VPX,"-=Kees=-",1.00,2018-06-05
"Champion (Bally 1939)",Bally,1939,"Flipperless",1,488,-,EM,FP,"Francisco Pozo",1.1,2023-08-19
"Champions League - Libertadores narracao Brasileira (Original 2020)",Original,2020,"Sports, Soccer",4,-,-,SS,VPX,"Valkimpro",10.1,2020-02-22
"Champions League - Season 2017 (Original 2017)",Original,2017,"Sports, Soccer",4,-,-,SS,VPX,"Ninuzzu, Tom Tower",1.4,2019-03-19
"Champions League - Season 2018 (Original 2017)",Original,2017,"Sports, Soccer",4,-,-,SS,VPX,"Ninuzzu, Tom Tower, Shoopity, Flupper, Knorr, UltraPeepi, VPX Dev Team, Arngrim, JPSalas",1.0,2022-04-03
"Champions League - Season 2018 - St. Pauli (Original 2018)",Original,2018,"Sports, Soccer",4,-,-,SS,VPX,"Bambi Plattfuss, Tom Tower, Dids666, Jorg, Ninuzzu, HauntFreaks, Nailbuster",1.0,2018-10-08
"Champions League 2020 (Original 2020)",Original,2020,"Sports, Soccer",4,-,-,SS,VPX,"Donuts10, Tom Tower, Ninuzzu",1.1,2020-10-10
"Champions League 2021 (Original 2020)",Original,2020,"Sports, Soccer",4,-,-,SS,VPX,"Solters, Donuts10, Tom Tower, Ninuzzu, Nailbuster",1.0,2022-07-23
"Champions League 2021 (Original 2020)",Original,2020,"Sports, Soccer",4,-,-,SS,VPX,"Donuts10, Tom Tower, Ninuzzu, Nailbuster",1.0.0,2021-09-20
"Champions League 2023 (Original 2023)",Original,2023,"Sports, Soccer",-,-,-,SS,VPX,"Donuts",1.0.0,2023-12-17
"Chance (Playmatic 1978)",Playmatic,1978,"Happiness, Circus, Carnival",4,491,-,SS,VPX,"JPSalas, Pedator, Destruk, Inkochnito",4.0.1,2022-11-20
"Chance (Playmatic 1974)",Playmatic,1974,"Magic, Witchcraft",1,4878,-,EM,VPX,"JPSalas, Loserman76, Kiwi, Jose Navarro, Akiles50000",4.1.1,2023-09-21
"Charlie Brown Christmas (Original 2023)",Original,2023,"Animation, Comic, Christmas, Kids",-,-,-,EM,VPX,"iDigStuff, Apophis, HauntFreaks, DarthVito, Leojreimroc, TastyWasps, DaRdog81, RetroG33k, Passion4pins, Studlygoorite, Bietekwiet, JPSalas",1.1,2023-12-24
"Charlie's Angels (Gottlieb 1978)",Gottlieb,1978,"Licensed Theme",4,492,-,SS,VPX,"JPSalas, Carlos Guizzo, Inkochnito, Arngrim",4.0.0,2022-09-19
"Charlie's Angels (Gottlieb 1978)",Gottlieb,1978,"Licensed Theme",4,492,-,SS,VPX,"Rawd, Rascal, Rajo Joey, Sixtoe, JPSalas",1.0.0,2022-03-28
"Charlie's Angels (Gottlieb 1978)",Gottlieb,1978,"Licensed Theme",4,492,-,SS,VPX,"iDigStuff, Carlos Guizzo, JPSalas",2.0,2021-03-28
"Check Mate (Taito do Brasil 1977)",Taito do Brasil,1977,"Board Game",4,5491,-,EM,VPX,"JPSalas, Editoy, Stefanaustria (STAT)",4.3.0,2023-06-28
"Checkpoint (Data East 1991)",Data East,1991,"Sports, Auto Racing",4,498,-,SS,VPX,"Nestorgian, AgentEighty6, Goldchicco, 32assassin, Destruk",2.0,2022-09-23
"Checkpoint (Data East 1991)",Data East,1991,"Sports, Auto Racing",4,498,-,SS,VPX,"AgentEighty6, Goldchicco, 32assassin, Destruk",1.2.1,2021-03-19
"Checkpoint (Data East 1991)",Data East,1991,"Sports, Auto Racing",4,498,-,SS,-,"Buffalo Pin Bro, Goldchicco, 32assassin, Destruk",1.0.0,2021-12-03
"Checkpoint (Data East 1991)",Data East,1991,"Sports, Auto Racing",4,498,-,SS,VPX,"Morttis, Arconovum, Goldchicco, 32assassin, Destruk",1.3-1.0,2023-06-12
"Checkpoint (Data East 1991)",Data East,1991,"Sports, Auto Racing",4,498,-,SS,VPX,"Goldchicco, 32assassin, Destruk",1.3,2020-06-25
"Cheech & Chong_ Road-Trip'pin (Original 2021)",Original,2021,"Movie, Roap Trip, Comedy",-,-,-,-,VPX,"Senseless, Watacaractr, Rawd, Steely, Caligula",1.0.0,2023-04-10
"Cheech & Chong_ Road-Trip'pin (Original 2021)",Original,2021,"Movie, Roap Trip, Comedy",-,-,-,-,VPX,"Watacaractr, Benji, iDigStuff, Apophis, JPSalas",1.0,2021-11-29
"Cheese Squad (Original 2023)",Original,2023,-,-,-,-,-,VPX,"Wildlifewizard",1.2,2023-08-23
"Cheetah (Stern 1980)",Stern,1980,"Jungle, Fantasy",4,500,-,SS,VPX,"JPSalas, StrangeLeo, Kalavera, Destruk",4.0.0,2022-09-19
"Cherry Coke (Original 2020)",Original,2020,"Drinking",4,-,-,SS,VPX,"Ivantba, Mfuegemann, Pmax65, Akiles50000, JPSalas",1.0,2020-06-01
"Chicago Cubs Triple Play (Gottlieb 1985)",Gottlieb,1985,"Sports, Baseball",4,502,-,SS,VPX,"Morttis, Arconovum, 32assassin, Cyberpez",2.0-2.6,2023-06-12
"Chicago Cubs Triple Play (Gottlieb 1985)",Gottlieb,1985,"Sports, Baseball",4,502,-,SS,VPX,"32assassin, Cyberpez",2.0,2020-07-31
"Child's Play (Original 2017)",Original,2017,"Horror, Movie",4,-,-,EM,VPX,"Hursty",1.0,2018-09-04
"Child's Play  (Original 2023)",Original,2023,"Movie, Horror",-,-,-,EM,VPX,"David Grace, Hursty, Joe Picasso, Hawkeyez88, Chucky, Harlan, Andrew Walsh (Awalsh053), Smaug, Petri Renbro, JPSalas, Pinballfan2018",1.0.0,2023-05-04
"Chime Speed Test Table (Original 2021)",Original,2021,"Testing, Example",-,-,-,EM,VPX,"Scottacus",1.0,2021-03-03
"Chris Cornell Tribute (Original 2020)",Original,2020,"Music",-,-,-,SS,VPX,"Darthwhat, Aaron James, Destruk, Goldchicco",1.1.0,2023-06-18
"Christmas Pinbal (Original 2018)",Original,2018,"Christmas",-,-,-,SS,VPX,"Xenonph, Lizard, Flupper, HiRez00, Rsperanza, Stefanaustria (STAT), BorgDog, JPSalas",4.1,2022-12-03
"Christmas Vaction (Original 2023)",Original,2023,"Movie, Comedy, Christmas",-,-,-,SS,VPX,"Virtualman, GauGau",1.2,2023-12-23
"Chrono Trigger (Original 2022)",Original,2022,"Video Game",-,-,-,SS,VPX,"cHuGaLaeFoo, Wylte, Kiltem, Smaugdragon, FriscoPinball, Apophis, JPSalas",1.17,2023-02-14
"Chuck Berry (Original 2020)",Original,2020,"Music",4,-,-,SS,VPX,"John22, JPSalas",1.1,2020-12-04
"Circus (Brunswick 1980)",Brunswick,1980,"Happiness, Circus, Carnival",4,4937,-,SS,VPX,"JPSalas, Redwings13, Leeoneil",4.0.0,2022-09-21
"Circus (Bally 1973)",Bally,1973,"Happiness, Circus, Carnival",-,521,-,EM,VPX,"Teisen, Loserman76",1.1,2023-08-18
"Circus (Bally 1973)",Bally,1973,"Happiness, Circus, Carnival",-,521,-,EM,VPX,"Loserman76",1.0a,2021-11-29
"Circus (Zaccaria 1977)",Zaccaria,1977,"Happiness, Circus, Carnival",4,518,-,EM,VPX,"Teisen, Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim",1.0.0,2023-09-23
"Circus (Zaccaria 1977)",Zaccaria,1977,"Happiness, Circus, Carnival",4,518,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2022-03-19
"Circus (Gottlieb 1980)",Gottlieb,1980,"Happiness, Circus, Carnival",4,515,-,SS,VPX,"UnclePaulie, Armyaviation, Stagio, Sckurk, Borgdog, Apophis, Bord, PinStratsDan, Redbone, VPW Team",2.0.1,2023-12-04
"Circus (Gottlieb 1980)",Gottlieb,1980,"Happiness, Circus, Carnival",4,515,-,SS,VPX,"Larouillas, UnclePaulie, Armyaviation, Stagio, Sckurk, Borgdog, Apophis, Bord, PinStratsDan, Redbone, VPW Team",1.0.0,2023-12-03
"Circus (Gottlieb 1980)",Gottlieb,1980,"Happiness, Circus, Carnival",4,515,-,SS,VPX,"Rascal, LuvThatApex, Destruk, Inkochnito",1.1.0,2022-03-19
"Circus Starr (Original 2016)",Original,2016,"Circus",-,-,-,-,FP,"VP1000, Mark Bouchard",1.1,2023-12-06
"Cirqus Voltaire (Bally 1997)",Bally,1997,"Circus, Carnival",4,4059,-,SS,VPX,"VPin Workshop (VPW), Sixtoe, Dark, Randr, Knorr, ClarkKent",1.0.0,2023-09-23
"Cirqus Voltaire (Bally 1997)",Bally,1997,"Circus, Carnival",4,4059,-,SS,VPX,"Bigus1, Dozer, JPSalas",1.0,2023-07-29
"Cirqus Voltaire (Bally 1997)",Bally,1997,"Circus, Carnival",4,4059,-,SS,FP,"LtJazz, Rwl, Gimli, GeorgeH, Gin",3.0b,2023-09-16
"Cirqus Voltaire (Bally 1997)",Bally,1997,"Circus, Carnival",4,4059,-,SS,FX,"Zen Studios, Peter Grafl",-,2023-07-19
"Cirqus Voltaire (Bally 1997)",Bally,1997,"Circus, Carnival",4,4059,-,SS,VPX,"Knorr, JPSalas",1.1,2019-04-26
"Cirqus Voltaire (Bally 1997)",Bally,1997,"Circus, Carnival",4,4059,-,SS,VPX,"Arconovum, Dozer, JPSalas",1.0-2.6,2023-06-12
"Cirqus Voltaire (Bally 1997)",Bally,1997,"Circus, Carnival",4,4059,-,SS,VPX,"Sixtoe, Knorr, JPSalas",1.0,2022-06-27
"Cirqus Voltaire (Bally 1997)",Bally,1997,"Circus, Carnival",4,4059,-,SS,VPX,"Hanibal, Dozer, JPSalas",3.6,2021-11-26
"Cirqus Voltaire (Bally 1997)",Bally,1997,"Circus, Carnival",4,4059,-,SS,VPX,"Dozer, JPSalas",2.1,2016-03-16
"Cirqus Voltaire (Bally 1997)",Bally,1997,"Circus, Carnival",4,4059,-,SS,FX3,"Zen Studios",-,2000-01-01
"City Slicker (Bally 1987)",Bally,1987,"Crime, Mobsters, Police",4,527,-,SS,VPX,"Mistermixer, Destruk, Kiwi, Tom, Arngrim, Bord, TAB",1.0,2021-03-08
"Civil War (Zen Studios 2012)",Zen Studios,2012,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX,"Zen Studios, Mate Szeplaki",-,2023-07-19
"Civil War (Zen Studios 2012)",Zen Studios,2012,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX3,"Zen Studios",-,2000-01-01
"Class of 1812 (Gottlieb 1991)",Gottlieb,1991,"Adventure, Supernatural",4,528,-,SS,VPX,"UnclePaulie, Bigus1, Tom Tower, VPW Team, Fleep, Wylte, Flupper, Fluffhead35, Rik, Iaakki, Sixtoe, Apophis, Ninuzzu, HauntFreaks, Rothbauerw, nFozzy",3.0.2,2023-11-07
"Class of 1812 (Gottlieb 1991)",Gottlieb,1991,"Adventure, Supernatural",4,528,-,SS,VPX,"Bigus1, Tom Tower, Ninuzzu",1.0,2020-11-11
"Class of 1812 (Gottlieb 1991)",Gottlieb,1991,"Adventure, Supernatural",4,528,-,SS,VPX,"Tom Tower, Ninuzzu",1.0.0,2019-03-10
"Cleopatra (Gottlieb 1977)",Gottlieb,1977,"Historical",4,532,-,SS,FP,"Tomasaco",1.1,2023-10-30
"Cleopatra (Gottlieb 1977)",Gottlieb,1977,"Historical",4,532,-,SS,FP,"Popotte, Tomasaco",1.01,2023-11-24
"Cleopatra (Gottlieb 1977)",Gottlieb,1977,"Historical",4,532,-,SS,VPX,"Rajo Joey, Goldchicco, Sixtoe, Rawd",-,2023-09-30
"Cleopatra (Gottlieb 1977)",Gottlieb,1977,"Historical",4,532,-,SS,VPX,"Goldchicco, 32assassin, Thalamus",1.0b,2023-06-25
"Cleopatra (Gottlieb 1977)",Gottlieb,1977,"Historical",4,532,-,SS,FP,"Flash, Shane5734",1.1,2023-09-16
"Cleopatra (Gottlieb 1977)",Gottlieb,1977,"Historical",4,532,-,SS,VPX,"32assassin",1.0,2016-01-29
"Clockwork Orange Edition 1.00 (Original 2022)",Original,2022,"Movie",-,-,-,SS,VPX,"Icepinball, Akiles50000, Mfuegemann, Ivantba",1.0,2022-07-15
"Close Encounters of the Third Kind (Gottlieb 1978)",Gottlieb,1978,"Licensed Theme, Movie, Science Fiction",4,536,-,SS,VPX,"Wiesshund, Serpiko, Pinuck",4.0,2023-09-21
"Close Encounters of the Third Kind (Gottlieb 1978)",Gottlieb,1978,"Licensed Theme, Movie, Science Fiction",4,536,-,SS,VPX,"Gman77, BorgDog, HauntFreaks",1.0.1,2023-05-25
"Close Encounters of the Third Kind (Gottlieb 1978)",Gottlieb,1978,"Licensed Theme, Movie, Science Fiction",4,536,-,SS,VPX,"Rajo Joey, BorgDog, HauntFreaks",1.2.0,2023-01-05
"Close Encounters of the Third Kind (Gottlieb 1978)",Gottlieb,1978,"Licensed Theme, Movie, Science Fiction",4,536,-,SS,VPX,"Morttis, Arconovum, BorgDog, HauntFreaks",0.999-2.6,2023-06-12
"Close Encounters of the Third Kind (Gottlieb 1978)",Gottlieb,1978,"Licensed Theme, Movie, Science Fiction",4,536,-,SS,VPX,"BorgDog, HauntFreaks",0.999,2017-09-27
"Close Encounters of the Third Kind (Gottlieb 1978)",Gottlieb,1978,"Licensed Theme, Movie, Science Fiction",4,536,-,SS,VPX,"Wiesshund, Serpiko, Pinuck",1.0.2-3.0,2023-06-13
"Close Encounters of the Third Kind (Gottlieb 1978)",Gottlieb,1978,"Licensed Theme, Movie, Science Fiction",4,536,-,SS,FP,"Scapino",1.1,2023-09-16
"Cloudy with a Chance of Meatballs (Original 2021)",Original,2021,"Animation",-,-,-,SS,VPX,"Phenom, iDigStuff, Dvs626, Chucky87, Loserman76, Hawkeyez88, Pinball Picasso, PEandS1ws, JPSalas, Goldchicco, TCDeez",1.0.,2023-06-04
"Clue (Original 2018)",Original,2018,"Detective, Crime, Board Games",-,-,-,SS,VPX,"Fusionwerks, Flupper, ScottyWic, Roccodimarco, Thalamus, Xenonph, Arngrim, HauntFreaks, JPSalas, Nailbuster",1.2,2018-10-28
"Clutch (Original 2021)",Original,2021,"Music, Heavy Metal",-,-,-,-,VPX,"MellerMeller, Mofstedahl, Miles Travertine",1,2023-08-06
"Cobra (Original 2022)",Original,2022,"Anime, Science Fiction",-,-,-,SS,VPX,"Cez60, 7he S4ge, 32assassin",1.0.0,2022-03-13
"Coldplay Pinball (Original 2020)",Original,2020,"Music",-,-,-,SS,VPX,"Darthwhat, Hawkeyez88, Destruk, Goldchicco",1.1.0,2021-04-12
"College Queens (Gottlieb 1969)",Gottlieb,1969,"Happiness, School. Women",4,543,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2022-03-28
"College Queens (Gottlieb 1969)",Gottlieb,1969,"Happiness, School. Women",4,543,-,EM,FP,"Margoni",1.0,2023-09-16
"Columbia (LTD do Brasil 1983)",LTD do Brasil,1983,"Outer Space, Exploration",4,5759,-,SS,VPX,"Wiesshund, Mfuegemann",4.0,2023-09-21
"Columbia (LTD do Brasil 1983)",LTD do Brasil,1983,"Outer Space, Exploration",4,5759,-,SS,VPX,"Morttis, Arconovum, Mfuegemann",1.0-1.0,2023-06-12
