Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Alfred Hitchcock's Psycho (Original 2019),Original,2019,"Horror, Movie",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-08-11,Alfred Hitchcock's Psycho
Alien 2 (Original 2023),Original,2023,"Movie, Science Fiction, Horror",-,-,-,SS,VPX,"Bombaj344, BurtMacklin, HauntFreaks, JPSalas, Rothbauerw, Borgdog, Ghostfreaks",1.0.0,2023-10-03,Alien 2
Alien Covenant (Original 2023),Original,2023,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Bombaj344, Ghostfreaks, BurtMacklin, BorgDog, HauntFreaks, JPSalas, Rothbauerw",1.1,2023-04-01,Alien Covenant
Alien Isolation Pinball (Zen Studios 2016),Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Alien Isolation Pinball
Alien Nostromo (Original 2022),Original,2022,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,-,VPX,"Gh0stbust3r, Delta23, JPSalas",4.0,2022-03-07,Alien Nostromo
Alien Resurrection (Original 2022),Original,2022,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Ivantba, TonyTheWrench",1.0,2022-08-22,Alien Resurrection
Alien Trilogy (Original 2019),Original,2019,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Ivantba, Lodger",1.0,2019-02-12,Alien Trilogy
Alien vs Predator Pinball (Zen Studios 2016),Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Alien vs Predator Pinball
Aliens (Original 2020),Original,2020,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,SS,VPX,"Solters, Bombaj344, Delta23, Rascal",1.0,2022-07-19,Aliens
Aliens Pinball (Zen Studios 2016),Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Aliens Pinball
America's Most Haunted (Spooky Pinball 2014),Spooky Pinball,2014,"Horror, Supernatural",4,-,-,SS,VPX,"Bigus1, Freneticamnesic, Shoopity",2.0,2023-07-21,America's Most Haunted
Annabelle (Original 2020),Original,2020,"Movie, Horror, Supernatural",4,-,-,SS,VPX,"Davor Lipovac, JPSalas",1.0,2020-11-15,Annabelle
Army of the Dead (Original 2021),Original,2021,"Horror, Movie, Supernatural",-,-,-,EM,VPX,"Balutito, JPSalas",1.0.0,2021-12-04,Army of the Dead
Attack of the Killer Tomatoes (Original 2023),Original,2023,"Horror, Comedy",-,-,-,SS,VPX,"Nagaidevil, Icepinball, JPSalas",1.0.0,2023-08-03,Attack of the Killer Tomatoes
Beetlejuice (Original 2021),Original,2021,"Movie, Horror, Supernatural",4,2396,-,SS,VPX,"Sebastiendelf, AgentEighty6, Balutito",1.0.0,2021-11-12,Beetlejuice
Bone Busters Inc. (Gottlieb 1989),Gottlieb,1989,"Horror, Supernatural",4,347,-,SS,VPX,"Bigus1, Hmueck",2.1,2023-04-06,Bone Busters Inc.
Bram Stoker's Dracula (Williams 1993),Williams,1993,"Licensed Theme, Fictional, Horror, Supernatural, Movie",4,3072,-,SS,VPX,"Csilk, Thalamus, Dozer316, ICPjuggla, Francisco666, rom",1.6I,2023-09-25,Bram Stoker's Dracula
Bubba the Redneck Werewolf (Original 2017),Original,2017,"Horror, Supernatural",-,-,-,SS,VPX,"BorgDog, HauntFreaks, Bord",1.1,2022-03-21,Bubba the Redneck Werewolf
Catacomb (Stern 1981),Stern,1981,Horror,4,469,-,SS,VPX,"HSM, 32assassin, Mfuegemann, Stefanaustria (STAT)",1.0,2020-01-26,Catacomb
Cenobite (Original 2023),Original,2023,Horror,-,-,-,SS,VPX,"UncleWilly, HauntFreaks, JPSalas, MrGrynch",1.0.0,2023-10-27,Cenobite
Child's Play (Original 2017),Original,2017,"Horror, Movie",4,-,-,EM,VPX,Hursty,1.0,2018-09-04,Child's Play
Creepshow (Original 2021),Original,2021,Horror,-,-,-,SS,VPX,"Balutito, GAGPin, PEandS1Ws, Dtatane, Nesta78, 32assassin",1.2,2022-01-25,Creepshow
Creepy House (Original 2006),Original,2006,Horror,-,-,-,-,FP,Anthias,1.1,2023-10-07,Creepy House
Curse of the Mummy (Zen Studios 2022),Zen Studios,2022,"Horror, Legends, Supernatural",-,-,-,-,FX,"Zen Studios, Anna Lengyel, Peter Grafl",-,2022-04-02,Curse of the Mummy
Dante's Inferno (Original 2022),Original,2022,"Fantasy, Horror",-,-,-,SS,VPX,"Bombaj344, Timo Behrens, Scutters, Batch, Goldchicco",1.1a,2022-01-25,Dante's Inferno
Dr. Jekyll and Mr. Hyde (Original 2022),Original,2022,Horror,-,-,-,SS,VPX,"Bombaj344, BurtMacklin, Bigus1, 32assassin, Francisco666",1.3.1,2022-06-13,Dr. Jekyll and Mr. Hyde
Dracula (Stern 1979),Stern,1979,"Fictional, Supernatural, Horror",4,728,-,SS,VPX,"10mmSocket, Bord",1.0.0,2022-11-06,Dracula
Elvira - Party House of Horror (Original 2019),Original,2019,"Licensed Theme, Horror, Supernatural",-,,-,SS,VPX,"Gman77, Jagandy82, Nagadevil, HauntFreaks, Marty02, 32assassin",1.0,2023-11-09,Elvira - Party House of Horror
Elvira and the Party Monsters (Bally 1989),Bally,1989,"Licensed Theme, Horror, Supernatural",4,782,-,SS,VPX,"Gman77, Jagandy82, Nagadevil, Versins77, 32assassin, HauntFreaks",1.0.0,2023-11-09,Elvira and the Party Monsters
Evil Dead (Original 2018),Original,2018,"Horror, Movie",-,-,-,SS,VPX,HorsePin,1.1,2023-06-18,Evil Dead
Evil Dead 2 (Original 2019),Original,2019,"Horror, Movie, Supernatural",4,-,-,SS,VPX,"Bombaj344, Pin666, JPSalas",1.0.0,2022-02-01,Evil Dead 2
Evil Dead 3 Army of Darkness (Original 2020),Original,2020,"Horror, Movie",-,-,-,SS,VPX,"Ivantba, Javier, Brendan Bailey (Pinwizkid)",1.0,2020-03-23,Evil Dead 3 Army of Darkness
Friday the 13th (Original 2017),Original,2017,"Movie, Horror",-,-,-,SS,VPX,TheGhost787,1.0,2017-01-03,Friday the 13th
Friday the 13th Part II (Original 2019),Original,2019,"Movie, Horror",4,-,-,SS,VPX,"Ivantba, 32assassin",1.0,2019-06-26,Friday the 13th Part II
From Dusk Till Dawn (Original 2022),Original,2022,"Movie, Horror",-,-,-,SS,VPX,"Larouillas, Balutito, BurtMacklin, JPSalas",1.0.0,2023-03-13,From Dusk Till Dawn
Gremlins (Original 2022),Original,2022,"Horror, Comedy, Movie",-,-,-,SS,VPX,"Balutito, Sindbad, Schreibi34, Flupper, Noah, Pin666, Ninuzzu, HauntFreaks, JPSalas",1.7,2022-07-08,Gremlins
Halloween (Original 2019),Original,2019,"Supernatural, Horror",-,-,-,SS,VPX,Fastdraw (Granit),1.0.0,2019-10-19,Halloween
