Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Infectious Grooves (Original 2021),Original,2021,"Music, American Funk Metal Band",-,-,-,-,VPX,"Larouillas, Balutito, HauntFreaks",1.0.0,2024-01-01,Infectious Grooves
Iron Maiden (Original 2017),Original,2017,"Music, Heavy Metal",-,-,-,-,FP,"Watacaractr, Francisco666, SLAMT1LT",1.0,2023-03-31,Iron Maiden
Iron Maiden Legacy of the Beast (Original 2022),Original,2022,Music,-,-,-,SS,VPX,VPin Workshop (VPW),1.0.12,2023-03-11,Iron Maiden Legacy of the Beast
Iron Maiden Senjutsu (Original 2021),Original,2021,"Music, Heavy Metal",4,-,-,SS,VPX,"Balutito, Wed21, Walamab, Flupper, Anthias, DarthMarino, Nesta78, GTXJoe, Siggi",1.3,2021-10-11,Iron Maiden Senjutsu
Iron Maiden Virtual Time (Original 2020),Original,2020,"Music, Heavy Metal",4,-,-,SS,VPX,"Ahr1man, Rascal, Solters, Franck Hollinger (Mussinger), Herweh",1.0.0,2023-01-13,Iron Maiden Virtual Time
Jimi Hendrix (Original 2021),Original,2021,Music,4,-,-,SS,VPX,"Balutito, JPSalas",1.2,2022-01-09,Jimi Hendrix
Jive Time (Williams 1970),Williams,1970,"Music, Singing",1,1298,-,EM,VPX,"Pdrum, Rothbauerw",2.0,2023-08-27,Jive Time
Johnny Hallyday (Original 2020),Original,2020,Music,-,-,-,EM,VPX,John22,1.0,2020-05-08,Johnny Hallyday
Judas Priest Pinball (Original 2019),Original,2019,"Music, Heavy Metal",4,-,-,SS,VPX,"MauiPunter, HauntFreaks, JPSalas, Siggi",1.0,2019-04-04,Judas Priest Pinball
Justin Timberlake (Original 2021),Original,2021,Music,-,-,-,SS,VPX,"Phenom, Buffalo Pin Bro, Hawkeyez88, Pinball Picasso, Devious626, PEandS1ws, Chucky87, JPSalas, Goldchicco, TCDeez",1.0,2023-06-05,Justin Timberlake
Kat (Original 2023),Original,2023,"Music, Rock",-,-,-,SS,VPX,"Bombaj344, Hawkeyez88",1.0.0,2023-12-19,Kat
Kim Wilde (Original 2020),Original,2020,Music,-,-,-,EM,VPX,"SuperED, Arngrim",3.26,2021-04-07,Kim Wilde
King Kool (Gottlieb 1972),Gottlieb,1972,"Happiness, Music",2,1371,-,EM,VPX,"Rajo Joey, Loserman76, Bodydump",1.0.0,2023-01-05,King Kool
King Rock (Gottlieb 1972),Gottlieb,1972,"Happiness, Music",4,1377,-,EM,VPX,"Mustang1961, Loserman76, Bodydump",1.0a,2023-05-27,King Rock
King of Rock and Roll (Original 2022),Original,2022,Music,-,-,-,SS,VPX,"Marty02, JPSalas",2.1,2022-01-25,King of Rock and Roll
Kiss (Bally 1979),Bally,1979,"Celebrities, Licensed, Music",4,1386,-,SS,FP,Popotte,1.00,2023-11-22,Kiss
Led Zeppelin (Original 2017),Original,2017,Music,-,-,-,SS,VPX,Mofstedahl,1.0,2017-02-17,Led Zeppelin
Les Insus (Original 2020),Original,2020,Music,4,-,-,EM,VPX,Marty02,1.0,2020-04-21,Les Insus
Linkin Park (Original 2013),Original,2013,"Music, Heavy Metal",-,-,-,SS,VPX,"Darthwhat, Hawkeyez88, Aaron James, Destruk, JPSalas, Goldchicco",1.0.0,2022-10-13,Linkin Park
Love Bug (Williams 1971),Williams,1971,"Dancing, Happiness, Music",1,1480,-,EM,VPX,"Loserman76, Tom, Thalamus, Rosve, Osprey101, Wildman",1.0.0f,2021-12-20,Love Bug
Magic Circle (Bally 1965),Bally,1965,"Fortune Telling, Dancing, Music",1,1513,-,EM,VPX,"Bord, Rothbauerw",1.0.1,2019-05-31,Magic Circle
Mago De Oz (Original 2021),Original,2021,Music,-,-,-,SS,VPX,"JPSalas, Enomao, Arngrim",4.3.0,2023-11-02,Mago De Oz
Manowar (Original 2019),Original,2019,Music,4,-,-,SS,VPX,"JPSalas, Siggi",1.0,2019-04-29,Manowar
Marilyn Manson Pinball (Original 2021),Original,2021,"Music, Heavy Metal",-,-,-,EM,VPX,"Darthwhat, Destruk, Hawkeyez88, Goldchicco",1.0.0,2021-10-22,Marilyn Manson Pinball
Maroon 5 (Original 2021),Original,2021,Music,-,-,-,SS,VPX,"Phenom, Buffalo Pin Bro, Hawkeyez88, Pinball Picasso, Devious626, iDigStuff, PEandS1ws, Chucky87, Goldchicco, TCDeez",1.0,2023-06-05,Maroon 5
Megadeth (Original 2023),Original,2023,"Music, Heavy Metal",-,-,-,SS,VPX,"Joe Picasso, JPSalas, Team Tuga, Unsavory, Ayatollahofrock, Muhaha, TastyWasps, Rawd, HauntFreaks, Jim Vpcle, Flux, Oqqsan, Jagandy82",1.1,2023-12-13,Megadeth
Melody (Gottlieb 1967),Gottlieb,1967,"Music, Singing",1,1566,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2021-12-20,Melody
